Name: 寰宇新闻台湾, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv156, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 900 ms, Speed: 0.00 M/s, Resolution: None
Name: 寰宇财经, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv158, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 534 ms, Speed: 0.00 M/s, Resolution: None
Name: TVBS新闻, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv072, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 549 ms, Speed: 0.00 M/s, Resolution: None
Name: TVBS欢乐, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv068, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 545 ms, Speed: 0.00 M/s, Resolution: None
Name: TVBS精采, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv067, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 551 ms, Speed: 0.00 M/s, Resolution: None
Name: 八大精彩, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv034, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 546 ms, Speed: 0.00 M/s, Resolution: None
Name: 八大精彩, URL: http://udinlaw.sytes.net:8000/scripts/4gtv/index.php?id=4gtv-4gtv034, From: subscribe, IPv_Type: ipv4, Location: 印度尼西亚, ISP: , Date: None, Delay: 356 ms, Speed: 0.00 M/s, Resolution: None
Name: 八大综艺, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv039, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 891 ms, Speed: 0.00 M/s, Resolution: None
Name: 三立INEWS, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 三立INEWS, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 台视, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv066, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 544 ms, Speed: 0.00 M/s, Resolution: None
Name: 台视新闻, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 台视新闻, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv051, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 538 ms, Speed: 0.00 M/s, Resolution: None
Name: 博斯运动1, URL: http://xtvantsc.xyz/litv_ts.php?id=litv-longturn07, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 546 ms, Speed: 0.00 M/s, Resolution: None
Name: 博斯运动2, URL: http://xtvantsc.xyz/litv_ts.php?id=litv-longturn08, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 554 ms, Speed: 0.00 M/s, Resolution: None
